epoch,lambda_h2_epoch,lambda_h2_step,lr-Adam,step,train_h2_h_epoch,train_h2_h_step,train_h2_r_epoch,train_h2_r_step,train_loss_epoch,train_loss_step,train_recon_loss_epoch,train_recon_loss_step,val_h2_total_gcta,val_h2_total_proxy,val_loss,val_recon_loss
13,,0.019999999552965164,,2939,,60.08324432373047,,-34.9506950378418,,-1.6701120138168335,,0.23056668043136597,,,,
13,,0.019999999552965164,,2959,,60.13688659667969,,-34.970359802246094,,-1.6587731838226318,,0.24337159097194672,,,,
13,,0.019999999552965164,,2979,,60.1080436706543,,-35.01447296142578,,-1.6562809944152832,,0.24616923928260803,,,,
13,,0.019999999552965164,,2999,,60.061161041259766,,-34.97801971435547,,-1.6651794910430908,,0.23560412228107452,,,,
13,,0.019999999552965164,,3019,,62.19904327392578,,-37.80341339111328,,-1.7582244873046875,,0.24182462692260742,,,,
13,,0.019999999552965164,,3039,,62.17882537841797,,-37.73055648803711,,-1.7552369832992554,,0.24295063316822052,,,,
13,,0.019999999552965164,,3059,,62.28581237792969,,-37.707210540771484,,-1.7585363388061523,,0.24132412672042847,,,,
13,,0.019999999552965164,,3079,,62.19234085083008,,-37.789344787597656,,-1.7624958753585815,,0.23713776469230652,,,,
13,,0.019999999552965164,,3099,,62.184017181396484,,-37.765296936035156,,-1.7615745067596436,,0.2374117076396942,,,,
13,,0.019999999552965164,,3119,,62.24280548095703,,-37.751529693603516,,-1.7555246353149414,,0.24436195194721222,,,,
13,,,,3121,,,,,,,,,31.11244010925293,14.444581985473633,0.022150851786136627,0.31104254722595215
13,0.020000023767352104,,,3121,61.237606048583984,,-36.47633743286133,,-1.7137516736984253,,0.24052664637565613,,,,,
,,,0.0005248074602497723,3122,,,,,,,,,,,,
14,,0.019999999552965164,,3139,,62.2275276184082,,-37.75032043457031,,-1.7579903602600098,,0.24156638979911804,,,,
14,,0.019999999552965164,,3159,,62.284400939941406,,-37.82166290283203,,-1.770257592201233,,0.23186364769935608,,,,
14,,0.019999999552965164,,3179,,62.26211929321289,,-37.82115936279297,,-1.7729740142822266,,0.2286914587020874,,,,
14,,0.019999999552965164,,3199,,62.238521575927734,,-37.8106689453125,,-1.7675690650939941,,0.23341462016105652,,,,
14,,0.019999999552965164,,3219,,64.45248413085938,,-39.92481231689453,,-1.8527613878250122,,0.23478448390960693,,,,
14,,0.019999999552965164,,3239,,64.44467163085938,,-39.934844970703125,,-1.852310299873352,,0.23527997732162476,,,,
14,,0.019999999552965164,,3259,,64.43318176269531,,-39.95228958129883,,-1.8517550230026245,,0.2359544038772583,,,,
14,,0.019999999552965164,,3279,,64.43181610107422,,-39.91553497314453,,-1.853858232498169,,0.23308876156806946,,,,
14,,0.019999999552965164,,3299,,64.4349365234375,,-39.870155334472656,,-1.8563463687896729,,0.2297554463148117,,,,
14,,0.019999999552965164,,3319,,64.424560546875,,-39.94169998168945,,-1.8406586647033691,,0.24666646122932434,,,,
14,,0.019999999552965164,,3339,,64.42243957519531,,-39.88921356201172,,-1.854781150817871,,0.23145195841789246,,,,
14,,,,3344,,,,,,,,,31.005783081054688,14.472577095031738,0.013661772944033146,0.3031133711338043
14,0.020000023767352104,,,3344,63.661598205566406,,-39.16291809082031,,-1.822790265083313,,0.23370108008384705,,,,,
,,,0.00026240373012488614,3345,,,,,,,,,,,,
15,,0.019999999552965164,,3359,,64.47698974609375,,-39.93877410888672,,-1.8594472408294678,,0.22886794805526733,,,,
15,,0.019999999552965164,,3379,,64.42158508300781,,-39.925716400146484,,-1.8715565204620361,,0.21538949012756348,,,,
15,,0.019999999552965164,,3399,,64.54142761230469,,-39.94462585449219,,-1.8784128427505493,,0.21130816638469696,,,,
15,,0.019999999552965164,,3419,,66.5115737915039,,-42.34584426879883,,-1.955442190170288,,0.22170601785182953,,,,
15,,0.019999999552965164,,3439,,66.4853515625,,-42.34877014160156,,-1.9689838886260986,,0.20769844949245453,,,,
15,,0.019999999552965164,,3459,,66.47148895263672,,-42.28750991821289,,-1.9562962055206299,,0.21888376772403717,,,,
15,,0.019999999552965164,,3479,,66.49049377441406,,-42.34897232055664,,-1.9524102210998535,,0.2243790477514267,,,,
15,,0.019999999552965164,,3499,,66.58976745605469,,-42.37181091308594,,-1.9562278985977173,,0.2230035811662674,,,,
15,,0.019999999552965164,,3519,,66.48656463623047,,-42.29734420776367,,-1.960155963897705,,0.21552208065986633,,,,
15,,0.019999999552965164,,3539,,66.48484802246094,,-42.321895599365234,,-1.956939697265625,,0.21919509768486023,,,,
15,,0.019999999552965164,,3559,,66.52780151367188,,-42.34307098388672,,-1.9571177959442139,,0.22029973566532135,,,,
15,,,,3567,,,,,,,,,30.851335525512695,14.476337432861328,0.025539519265294075,0.31506627798080444
15,0.020000023767352104,,,3567,65.99771118164062,,-41.737030029296875,,-1.93558669090271,,0.21910777688026428,,,,,
,,,0.00026240373012488614,3568,,,,,,,,,,,,
16,,0.019999999552965164,,3579,,66.4977035522461,,-42.342918395996094,,-1.9647588729858398,,0.2120533585548401,,,,
16,,0.019999999552965164,,3599,,66.48041534423828,,-42.35769271850586,,-1.9630260467529297,,0.2137361615896225,,,,
16,,0.019999999552965164,,3619,,70.26329803466797,,-45.874568939208984,,-2.1096060276031494,,0.2131512612104416,,,,
16,,0.019999999552965164,,3639,,70.2564926147461,,-45.881019592285156,,-2.1174144744873047,,0.2053356170654297,,,,
16,,0.019999999552965164,,3659,,70.29656982421875,,-45.91732406616211,,-2.1157586574554443,,0.2085191309452057,,,,
16,,0.019999999552965164,,3679,,70.27947235107422,,-45.93910598754883,,-2.1121082305908203,,0.21226346492767334,,,,
16,,0.019999999552965164,,3699,,70.30746459960938,,-45.91666793823242,,-2.114553451538086,,0.20992904901504517,,,,
16,,0.019999999552965164,,3719,,70.27771759033203,,-45.89191436767578,,-2.1074767112731934,,0.21591587364673615,,,,
16,,0.019999999552965164,,3739,,70.29989624023438,,-45.908451080322266,,-2.1148509979248047,,0.20931601524353027,,,,
16,,0.019999999552965164,,3759,,70.27287292480469,,-45.91313934326172,,-2.1049296855926514,,0.21879057586193085,,,,
16,,0.019999999552965164,,3779,,70.29021453857422,,-45.928565979003906,,-2.11238169670105,,0.21199390292167664,,,,
16,,,,3790,,,,,,,,,30.84126091003418,14.467142105102539,0.014586219564080238,0.30392906069755554
16,0.020000023767352104,,,3790,69.72522735595703,,-45.38263702392578,,-2.0902490615844727,,0.21190841495990753,,,,,
,,,0.00026240373012488614,3791,,,,,,,,,,,,
17,,0.019999999552965164,,3799,,70.31179809570312,,-45.937992095947266,,-2.115647792816162,,0.20934799313545227,,,,
